Scraped date,Category,Series Title,Release Year,SNO,ENO,Episode Title,links
2018-03-13,FOX Shows,Life Below Zero: Best Of,2013,10,5,Queens of the North,{'fox': ['c3c52fa01854c991795673c389a47253']}
2018-03-13,FOX Shows,Life Below Zero: Best Of,2013,10,4,Blood in the Water,{'fox': ['f7de9734bd0fdc01564560c012c6ee18']}
2018-03-13,FOX Shows,Life Below Zero: Best Of,2013,10,3,Cold Comfort,{'fox': ['4b59808b10f96aad1cd1174e6a55bb6f']}
2018-03-13,FOX Shows,Life Below Zero: Best Of,2013,10,2,Hounds of the Arctic,{'fox': ['3d5433ca6f51a90f7eb7d1a0c99a6664']}
2018-03-13,FOX Shows,Life Below Zero: Best Of,2013,10,1,Bloodlines,{'fox': ['60b05f73ad443a3d6d02e5f3e52f1b7e']}
2018-03-13,FOX Shows,Gotham,2014,4,13,A Dark Knight: A Beautiful Darkness,{'fox': ['fc15bfc8f4a3acacd77df794f7d80325']}
2018-03-13,FOX Shows,Gotham,2014,4,12,A Dark Knight: Pieces of a Broken Mirror,{'fox': ['18792a8fb05cb788da2845d0209a49ab']}
2018-03-13,FOX Shows,Gotham,2014,4,11,A Dark Knight: Queen Takes Knight,{'fox': ['10e8807171af67ec5b03e03b26f0e617']}
2018-03-13,FOX Shows,Gotham,2014,4,10,A Dark Knight: Things That Go Boom,{'fox': ['5d2905068b9cb906c84744040887ff9f']}
2018-03-13,FOX Shows,Gotham,2014,4,9,A Dark Knight: Let Them Eat Pie,{'fox': ['27a357e42ae9f1127f4b28cdf83c3a06']}
2018-03-13,FOX Shows,American Crime Story,2016,2,7,Ascent,{'fox': ['22e10d863d72cd15372e59aad8fc89f1']}
2018-03-13,FOX Shows,American Crime Story,2016,2,6,Descent,{'fox': ['f31f3408663c8dab1682e2bd701f5301']}
2018-03-13,FOX Shows,American Crime Story,2016,2,5,Don't Ask Don't Tell,{'fox': ['062bda70e86cdcf62544e7150dee1989']}
2018-03-13,FOX Shows,American Crime Story,2016,2,4,House by the Lake,{'fox': ['7d926c9a9acfb1befcb18f1191729993']}
2018-03-13,FOX Shows,American Crime Story,2016,2,3,A Random Killing,{'fox': ['119833694e7ae74edb8aced1726d6c84']}
2018-03-13,FOX Shows,American Crime Story,2016,2,2,Manhunt,{'fox': ['89263e078956fd9da50b65ff2688ac1c']}
2018-03-13,FOX Shows,American Crime Story,2016,2,1,The Man Who Would Be Vogue,{'fox': ['98727d9d7ea18fdb4dc0d69a3d4a3ea0']}
2018-03-13,FOX Shows,Louis Theroux-Dark States,2018,1,1,Heroin Town,{'fox': ['dc0d93a173ff13ff50bf6f8d4537fc37']}
2018-03-13,FOX Shows,9-1-1,2018,1,8,Karma's A Bitch,{'fox': ['f22b8dbdde51149742681e7f0ba86709']}
2018-03-13,FOX Shows,9-1-1,2018,1,7,Full Moon (Creepy AF),{'fox': ['89111d2d70ff741fac795639d82800fe']}
2018-03-13,FOX Shows,9-1-1,2018,1,6,Heartbreaker,{'fox': ['d26cc001a4ec948fc3227787b06e3f0a']}
2018-03-13,FOX Shows,9-1-1,2018,1,5,Point of Origin,{'fox': ['b82846dd4e8e79b4c1071ef6ff70d696']}
2018-03-13,FOX Shows,9-1-1,2018,1,4,Worst Day Ever,{'fox': ['522625529bd28f85efe23e26746854e6']}
2018-03-13,FOX Shows,9-1-1,2018,1,3,Next of Kin,{'fox': ['5035725c5624d2f0abe18d45cd03126c']}
2018-03-13,FOX Shows,9-1-1,2018,1,2,Let Go,{'fox': ['fc9117bdcf895db41c512db455309b88']}
